study_id,vendor,manufacturer,model,field_T,TR_ms,TE_ms,ETL,flip_deg,slice_thick_mm,spacing_mm,inter_slice_gap_mm,acq_matrix,acq_matrix_source,fov_mm,fov_mm_source,bandwidth_Hzpx
S028,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S029,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S030,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S031,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S032,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S034,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,86.4,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S035,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S036,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.82,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S037,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S038,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S039,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,456x576,DICOM header (rows/cols fields),190.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S040,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S041,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,3140.0,86.22,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S042,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,528x576,DICOM header (rows/cols fields),220.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S043,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,456x576,DICOM header (rows/cols fields),190.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S044,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.76,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S045,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.34,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),230.0,DICOM header (FOV reported in mm),97.6562
S046,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.52,21.0,90.0,3.5,4.5,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S047,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S048,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S049,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S050,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.46,21.0,90.0,3.5,4.5,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S051,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S052,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S053,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2360.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S054,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,86.1,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S055,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),230.0,DICOM header (FOV reported in mm),97.6562
S056,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,408x576,DICOM header (rows/cols fields),170.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S057,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S058,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,544x544,DICOM header (rows/cols fields),220.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S059,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S060,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S061,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S062,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S063,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S064,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.34,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S065,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S066,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2360.0,86.22,21.0,90.0,3.5,4.5,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S067,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,456x576,DICOM header (rows/cols fields),190.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S068,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,3000.0,115.992,25.0,90.0,4.0,5.0,1.0,512x512,DICOM header (rows/cols fields),300.0,DICOM header (FOV reported in mm),162.773
S069,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2360.0,86.64,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),210.0,DICOM header (FOV reported in mm),97.6562
S070,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.82,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S071,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S072,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,86.16,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),230.0,DICOM header (FOV reported in mm),97.6562
S073,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,3180.0,86.02,25.0,90.0,4.0,5.0,1.0,512x512,DICOM header (rows/cols fields),320.0,DICOM header (FOV reported in mm),122.07
S074,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,384x576,DICOM header (rows/cols fields),160.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S075,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S076,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.64,21.0,90.0,3.5,4.5,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S077,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
